ADM0_CODE;ADM0;ADM1_CODE;ADM1;ADM2_CODE;ADM2;AREA_SQKM;ROAD_DENSITY;POPULATION;GDP_2019;GDP_2022;LAND_USE;DISASTERS
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9305;Paiwas;2168,453195;0,106942788;54743,78701;3607;3813;2;2
NI;Nicaragua;NI75;Carazo;NI7535;Santa Teresa;214,9962662;0,183483596;17390,68924;4355;4594;11;6
NI;Nicaragua;NI85;Río San Juan;NI8505;Morrito;667,8384653;0,205853077;7513,621205;3914;4311;2;0
NI;Nicaragua;NI80;Rivas;NI8040;Rivas;282,2402087;0,13196045;46028,38311;3703;4148;11;21
NI;Nicaragua;NI91;Región Autónoma Costa Caribe Norte;NI9135;Prinzapolka;6837,154762;0,032734794;83628,70983;3273;3503;11;14
NI;Nicaragua;NI50;Boaco;NI5025;Teustepe;640,7365743;0,180255151;34273,06398;3762;4139;11;13
NI;Nicaragua;NI30;Chinandega;NI3060;Chichigalpa;219,7207006;0,092572063;50141,29837;5559;5914;5;14
NI;Nicaragua;NI35;León;NI3515;Santa Rosa del Peñón;226,8550617;0,059631526;10519,04098;5086;4404;11;3
NI;Nicaragua;NI85;Río San Juan;NI8510;El Almendro;1011,091151;0,134636227;16177,22489;3814;4189;2;0
NI;Nicaragua;NI10;Jinotega;NI1035;Jinotega;879,3201511;0,155286951;142516,8514;4128;4305;2;42
NI;Nicaragua;NI20;Madriz;NI2040;Las Sabanas;68,95105781;0,223938896;5225,103941;2437;2502;11;3
NI;Nicaragua;NI55;Managua;NI5520;Villa El Carmen;567,6267163;0;0;0;0;11;6
NI;Nicaragua;NI10;Jinotega;NI1015;Santa María de Pantasma;550,1470276;0,20099377;56726,25041;3917;4329;2;2
NI;Nicaragua;NI35;León;NI3530;Telica;391,7457298;0,138454782;25120,57837;4018;4253;2;8
NI;Nicaragua;NI30;Chinandega;NI3040;Villanueva;795,99572;0,150859546;32683,96345;4393;4633;11;12
NI;Nicaragua;NI60;Masaya;NI6005;Nindirí;149,3312412;0,161205471;62180,94669;7131;7888;5;9
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9330;Kukrahill;1189,19967;0;0;0;0;2;5
